[BusinessObject] UpgradeRepair_PresentationRelink,2.0.9999.9999,
[BusinessObject] UpgradeRepair_FixMxReportPeriods,2.4.4.9999,
[BusinessObject] UpgradeRepair_CleanUpTemplates,2.4.9999.9999,
[BusinessObject] UpgradeRepair_FixDashboardPartIDs,2.4.9999.9999,
[BusinessObject] UpgradeRepair_FixGLAllocation,2.4.9999.9999,
[BusinessObject] UpgradeRepair_PopulateTrust,2.4.9999.9999,
[BusinessObject] UpgradeRepair_SetDBSettings,2.4.9999.9999,
[BusinessObject] UpgradeRepair_ChrgBillTaxUpgrade,2.5.9999.9999,
[BusinessObject] UpgradeRepair_ClearProcItem,2.5.9999.9999,
[BusinessObject] UpgradeRepair_DeleteFiles,2.5.9999.9999,
[BusinessObject] UpgradeRepair_DeleteRecords,2.5.9999.9999,
[BusinessObject] UpgradeRepair_FixDataValidationItem,2.5.9999.9999,
[BusinessObject] UpgradeRepair_FixDraft,2.5.9999.9999,
[BusinessObject] UpgradeRepair_FixMetricDups,2.5.9999.9999,
[BusinessObject] UpgradeRepair_NxExpansionCodeIndex,2.5.9999.9999,
[BusinessObject] UpgradeRepair_PopulateNxDate,2.5.9999.9999,
[BusinessObject] UpgradeRepair_PracticeMgmt_2_6_Post,2.5.9999.9999,Yes
[BusinessObject] UpgradeRepair_PracticeMgmt_2_6_Pre,2.5.9999.9999,
[BusinessObject] UpgradeRepair_TruncateFixedAssets,2.5.9999.9999,
[BusinessObject] UpgradeRepair_UpdateConfiguration,2.6.0.0,
[BusinessObject] UpgradeRepair_AVR,2.6.9999.9999,
[BusinessObject] UpgradeRepair_CleanDuplicateTemplateVersions,2.6.9999.9999,
[BusinessObject] UpgradeRepair_CleanFirmDictDups,2.6.9999.9999,
[BusinessObject] UpgradeRepair_CobraAlterColumnDefault,2.6.9999.9999,
[BusinessObject] UpgradeRepair_DeleteUnusedFrameworkOptions,2.6.9999.9999,
[BusinessObject] UpGradeRepair_FixPOMatchList,2.6.9999.9999,
[BusinessObject] UpgradeRepair_MaskOverrideValues,2.6.9999.9999,
[BusinessObject] UpgradeRepair_PostMaxIndexValue,2.6.9999.9999,
[BusinessObject] UpgradeRepair_PracticeMgmt_2_7_Post,2.6.9999.9999,Yes
[BusinessObject] UpgradeRepair_PracticeMgmt_2_7_Pre,2.6.9999.9999,
[BusinessObject] UpgradeRepair_PreMaxIndexValue,2.6.9999.9999,
[BusinessObject] UpgradeRepair_PresentationConv,2.6.9999.9999,
[BusinessObject] UpgradeRepair_RenameCustomIndexes,2.6.9999.9999,
[BusinessObject] UpgradeRepair_Template_sp,2.6.9999.9999,
[BusinessObject] UpgradeRepair_TEPatternReplace,2.6.9999.9999,
[BusinessObject] UpgradeRepair_TEUpdateStats,2.6.9999.9999,
[BusinessObject] UpgradeRepair_RefreshNxPrinterTemplateChangeData,2.7.1.9999,
[BusinessObject] UpgradeRepair_NxACL,2.7.2.0,
[BusinessObject] UpgradeRepair_APTranType,2.7.9999.9999,Yes
[BusinessObject] UpgradeRepair_BalancingPurgeProcedure,2.7.9999.9999,
[BusinessObject] UpgradeRepair_CleanSecurityTables,2.7.9999.9999,
[BusinessObject] UpgradeRepair_FixAssetBookName,2.7.9999.9999,
[BusinessObject] UpgradeRepair_FixDisplayFlag,2.7.9999.9999,Yes
[BusinessObject] UpgradeRepair_FixFABookComponent,2.7.9999.9999,
[BusinessObject] UpgradeRepair_FixFWKLangGUIDs,2.7.9999.9999,
[BusinessObject] UpgradeRepair_FixPresentationMessages,2.7.9999.9999,
[BusinessObject] UpgradeRepair_FixReleaseCaption,2.7.9999.9999,
[BusinessObject] UpgradeRepair_GLSegmentControlGLAcctMaskDefault,2.7.9999.9999,
[BusinessObject] UpgradeRepair_KeySync,2.7.9999.9999,
[BusinessObject] UpgradeRepair_Mobile,2.7.9999.9999,
[BusinessObject] UpgradeRepair_PostSourceList,2.7.9999.9999,
[BusinessObject] UpgradeRepair_RemoveIsCollectionInDAVR,2.7.9999.9999,
[BusinessObject] UpgradeRepair_RMBaseFilePhases,2.7.9999.9999,
[BusinessObject] UpgradeRepair_SaveACLSecuredArchetypeViews,2.7.9999.9999,
[BusinessObject] UpgradeRepair_SwitchToNewPMQ,2.7.9999.9999,
[BusinessObject] UpgradeRepair_UnitPeriod,2.7.9999.9999,
[BusinessObject] UpgradeRepair_VchrDetailStatutory,2.7.9999.9999,Yes
[BusinessObject] UpgradeRepair_TE3EDBChecker_sp,3.0.9999.9999,
[BusinessObject] UpgradeRepair_TERebuildAllIndexes,3.0.9999.9999,
[BusinessObject] UpgradeRepair_TEUpdateAllStats,3.0.9999.9999,
